INDEX,REPORT_YEAR,DIVISION,NEIGHBOURHOOD,CATEGORY,SUBTYPE,COUNT,COUNT_CLEARED,ObjectId
1,2022,D32,Bathurst Manor (34),Crimes Against Property,Auto Theft,79,0,1
2,2023,D12,Brookhaven-Amesbury (30),Crimes Against Property,Break & Enter-House,1,0,2
3,2014,D13,Englemount-Lawrence (32),Crimes Against Property,Auto Theft,7,0,3
4,2021,NSA,Moss Park (73),Crimes Against the Person,Sexual Violation,1,0,4
5,2020,D53,Forest Hill North (102),Crimes Against Property,Break & Enter-Apartment,2,0,5
6,2017,D43,Highland Creek (134),Crimes Against Property,Break & Enter-Apartment,1,0,6
7,2023,D22,NSA,Crimes Against Property,Theft Under $5000,3,0,7
8,2018,D33,Fenside-Parkwoods (150),Crimes Against Property,Break & Enter-Other,1,0,8
9,2014,D55,Oakridge (121),Crimes Against the Person,Sexual Violation,1,0,9
10,2022,D43,Guildwood (140),Crimes Against Property,Theft Over $5000,2,0,10
11,2021,D23,Humber Heights-Westmount (8),Crimes Against Property,Break & Enter-Commercial,1,0,11
12,2016,D52,Wellington Place (164),Crimes Against Property,Break & Enter-House,1,0,12
13,2017,D11,NSA,Crimes Against Property,Auto Theft,1,0,13
14,2017,D42,East L'Amoreaux (148),Crimes Against Property,Auto Theft,13,0,14
15,2019,D53,Forest Hill South (101),Crimes Against Property,Break & Enter-Apartment,2,0,15
16,2014,D23,Humbermede (22),Crimes Against the Person,Robbery-Other,1,0,16
17,2021,D13,Yorkdale-Glen Park (31),Crimes Against Property,Break & Enter-Other,2,0,17
18,2018,D52,Church-Wellesley (167),Crimes Against the Person,Sexual Violation,2,0,18
19,2023,D32,Newtonbrook East (50),Crimes Against Property,Break & Enter-Apartment,2,0,19
20,2017,D55,Blake-Jones (69),Crimes Against Property,Break & Enter-Other,3,0,20
21,2016,NSA,Clairlea-Birchmount (120),Crimes Against Property,Other,1,0,21
22,2015,D55,North Riverdale (68),Crimes Against Property,Auto Theft,13,0,22
23,2014,D32,Englemount-Lawrence (32),Crimes Against the Person,Attempt Murder,1,0,23
24,2015,D13,Caledonia-Fairbank (109),Crimes Against the Person,Sexual Violation,2,0,24
25,2014,D33,Victoria Village (43),Crimes Against the Person,Robbery-Other,1,0,25
26,2015,D42,Woburn North (142),Crimes Against Property,Other,1,0,26
27,2019,D53,North Toronto (173),Crimes Against Property,Break & Enter-House,1,0,27
28,2022,D41,Bendale South (157),Crimes Against Property,Auto Theft,5,0,28
29,2021,D14,Kensington-Chinatown (78),Crimes Against Property,Auto Theft,16,0,29
30,2020,D22,Markland Wood (12),Crimes Against Property,Break & Enter-House,3,0,30
31,2014,D12,Beechborough-Greenbrook (112),Crimes Against the Person,Attempt Murder,1,0,31
32,2019,D41,Cliffcrest (123),Crimes Against Property,Theft Over $5000,1,0,32
